Word,POS Tag
kota,NN
thank,NN
apk,NN
yesdok,NN
emang,NN
bener,NN
membantu,NN
informasi,NN
kesehatan,NN
sumbernya,NN
valid,JJ
awam,NN
dunia,NN
kesehatan,NN
apk,NN
nyediain,NN
layanan,JJ
konsultasi,NN
kemudahan,NN
bagiku,NN
penanganan,NN
cepat,NN
prakti,NN
aplikasi,NN
bagu,NN
konsultasi,NN
dokter,NN
promo,VBP
spesial,JJ
semoga,NN
terdepan,NN
apk,NN
kesehatn,NN
terbaik,NN
dokter,NN
sgt,NN
membantu,NN
data,NNS
berterimakasih,NN
bangga,NN
aplikasi,NN
membantu,NN
membantu,NN
kesehatan,NN
pake,NN
yesdok,NN
vcall,NN
dokternya,NN
nukerin,JJ
poin,NN
dapet,NN
x,NNP
konsultasi,NNP
mantap,FW
ajaa,NN
dimana,NN
aja,NN
koneksi,FW
internet,NN
siipp,NN
aplikasi,NN
membantu,NN
bagu,NN
saran,NN
tolong,IN
psikolog,NN
biar,NN
orang,NN
gampang,NN
konsultasinya,NN
aplikasi,NN
bermanfaat,NN
konsultasi,NN
alhamdulillah,NN
mengikuti,NN
ig,NN
live,JJ
yesdokid,NN
dgn,NN
topik,NN
menarik,NN
gangguan,JJ
cema,NN
dokter,NN
super,JJ
smart,JJ
insight,NN
alu,NN
dapatkan,JJ
seputar,NN
kecemasan,NNP
thank,NN
you,PRP
so,RB
much,JJ
aplikasi,NN
bermanfaat,NN
worri,NN
rumah,NN
sakit,NN
aplikasi,NN
yesdok,CC
konsultasi,NN
via,IN
video,NN
call,NN
bertatap,NN
muka,NN
dokter,NN
terbaik,NN
recommend,VBP
yuk,NN
pakai,NN
yesdok,NNP
smart,NN
peopl,NN
aplikasi,NN
terbaik,NN
membantu,NN
memperoleh,NN
informasi,NN
kesehatan,NN
era,NN
digit,NN
pergi,NN
dokter,NN
hape,NN
aja,NN
pelayanan,NN
terbaik,NN
dokter,NN
berpengalaman,NN
bidang,VBD
nya,JJ
aplikasi,NN
membantu,NN
respon,NN
cepat,NN
semoga,NN
terbaik,NN
apknya,NN
bagu,NN
aplikasi,NN
membantu,NN
terimakasih,NN
informasi,NN
seputar,NN
kesehatan,NN
aplikasi,JJ
keren,NNS
rumah,VBP
sakit,JJ
konsultasi,NN
dokter,NN
onlin,NN
keluhan,NN
kesehatan,VBD
tanya,NN
chat,RB
dokter,NN
nya,JJ
ya,NN
paham,NN
bagu,NN
membantu,NN
coba,NN
kasih,NN
option,NN
utk,JJ
kerjasama,NN
apoteknya,NN
slain,VBP
k,NN
biar,NN
variatif,NN
yesdok,NN
berguna,NN
masyarakat,NN
menjangkau,NN
rumah,NN
sakit,NN
pengguna,NN
kali,NN
konsultasi,NN
yesdok,NN
milih,NN
yesdok,NN
udah,JJ
menerapkan,JJ
video,NN
call,NN
dokter,NN
ulang,JJ
konsultasi,NN
grati,NNS
thank,IN
you,PRP
bagu,NN
aplikasi,NN
aplikasi,NN
yesdok,NN
konsultasi,NN
dokter,NN
rumahyesdok,NN
oke,VBD
bagu,NN
aplikasi,NN
keluhan,VBD
good,JJ
pokoknya,NN
aplikasi,NN
membantu,NN
informasi,NN
mudah,NN
didapatkan,NN
bermanfaat,NN
kesehatan,NN
terimakasih,NN
yesdok,NN
terbantu,NN
aplikasi,NN
konsultasi,NN
langsung,NN
dokter,NN
menambah,NN
wawasan,JJ
ilmu,NN
ttg,NN
kesehatan,NN
artikel,NN
berita,NN
ttg,NN
kesehatan,VBD
terima,JJ
kasih,NN
yesdok,NN
mantap,NN
dokternya,NN
keren,NNS
aplikasi,VBP
live,JJ
dr,NN
ika,FW
ayu,NN
anti,JJ
age,NN
pengen,NN
langsung,NN
dr,NN
ika,FW
ayu,NN
aplikasi,NN
ye,NN
dok,NN
bermanfaat,NN
bg,NN
mudah,NN
msk,NN
nya,JJ
ga,NN
ribet,NN
masya,NN
allah,NN
tabarakallah,NN
bismillah,NN
semoga,NN
apk,NN
yesdok,NN
kemanfaatan,NN
aamiin,NN
aplikasinya,NN
membantu,NN
informasi,NN
kesehatan,NN
terimakasih,NN
yesdok,NN
suks,NN
aplikasinya,NN
ringan,NN
manfaatnya,FW
solusi,JJ
konsul,FW
live,JJ
dokter,NN
terbaik,NN
bagu,NN
membantu,NN
appikasi,NN
bermanfaat,NN
berguna,NN
masyarakat,NN
wahhh,NN
bagu,NN
membantu,NN
karna,FW
aplikasinya,NN
tanggap,NN
cepat,NN
akurat,NN
informasi,NN
jg,NN
ttg,NN
kesehatan,NN
terbaikkkk,NN
yesdok,NN
seru,JJ
live,JJ
diadain,NN
yesdok,NN
bermanfaat,NN
relat,JJ
wanita,NN
butuh,NN
edukasi,NN
kewanitaan,NN
maju,NN
suks,NN
semoga,NN
share,NN
pengetahuan,JJ
bermanfaat,NN
follow,VBP
mu,NN
terimakasih,NN
nunggunya,JJ
gagal,JJ
konsultasi,NN
telat,JJ
ngangkat,NN
telvon,NN
mantap,NN
mempermudah,NN
kesehatan,NN
aplikasi,NN
bermanfaat,NN
sekalii,NN
respon,NN
cepat,NN
pokoknya,NN
bikin,NN
nyaman,NN
aplikasi,NN
membantu,NN
konsultasi,VBD
terkait,JJ
kesehatan,NN
dihadapi,NN
thank,NN
you,PRP
yesdok,VBP
dr,NN
nya,CC
ramah,NN
pelayanannya,NN
cepat,NN
yesdok,NN
aplikasi,NN
kesehatan,NN
bermanfaat,NN
informasi,NN
kesehatan,NN
jg,NN
konsultasi,NN
langsung,NN
expert,VBP
download,NN
follow,JJ
account,NN
sosm,NN
nya,RB
live,JJ
share,NN
session,NN
informatif,FW
edukatif,FW
terimakasih,NN
aplikasi,NN
bermanfaat,NN
n,JJ
wajib,NN
dimiliki,NN
karna,FW
informatif,NN
n,FW
memudahkan,NN
dlm,NN
mengatur,NN
jadwal,NN
konsul,NN
dokter,NN
keren,NN
respon,NN
nyasigap,NN
bagu,NN
gig,NN
masyaallah,NN
keren,NNS
iniii,VBP
knp,JJ
br,NN
tau,NN
skrg,NN
app,NN
nya,IN
user,JJ
friendli,NN
